"PERIODO","ESTU_TIPODOCUMENTO","ESTU_CONSECUTIVO","COLE_AREA_UBICACION","COLE_BILINGUE","COLE_CARACTER","COLE_COD_DANE_ESTABLECIMIENTO","COLE_DEPTO_UBICACION","COLE_GENERO","COLE_JORNADA","COLE_NATURALEZA","ESTU_GENERO","FAMI_CUARTOSHOGAR","FAMI_EDUCACIONMADRE","FAMI_EDUCACIONPADRE","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_TIENEAUTOMOVIL","FAMI_TIENECOMPUTADOR","FAMI_TIENEINTERNET","FAMI_TIENELAVADORA","PUNT_INGLES","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_LECTURA_CRITICA","PUNT_GLOBAL"
"20211","TI","SB11202110017347","URBANO","N","ACADÉMICO","376001031007","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Seis o mas","Educación profesional completa","Educación profesional incompleta","Estrato 3","7 a 8","Si","Si","Si","Si","39","39","45","41","52","219"
"20211","TI","SB11202110017206","URBANO","N","ACADÉMICO","376001031007","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 3","3 a 4","No","Si","Si","Si","55","47","53","56","63","274"
"20211","TI","SB11202110001285","URBANO","N","ACADÉMICO","376001000829","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","80","77","69","68","77","367"
"20211","CC","SB11202110064835","URBANO","N","ACADÉMICO","352001005239","NARIÑO","MIXTO","MAÑANA","NO OFICIAL","M",,,,,,,,,,"67","78","81","67","79","378"
"20211","TI","SB11202110008796","RURAL","S","ACADÉMICO","376001013441","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Cinco","Educación profesional completa","Postgrado","Estrato 5","5 a 6","Si","Si","Si","Si","79","100","75","80","72","408"
"20211","TI","SB11202110003550","RURAL","S","ACADÉMICO","425175032674","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Postgrado","Postgrado","Estrato 5","1 a 2","Si","Si","Si","Si","85","68","66","68","70","347"
"20211","TI","SB11202110005265","URBANO","N","TÉCNICO","376001012789","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","Técnica o tecnológica incompleta","Estrato 3","1 a 2","No","Si","Si","Si","69","63","64","59","67","318"
"20211","TI","SB11202110024877","URBANO","S","ACADÉMICO","311769003474","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","81","68","64","69","69","343"
"20211","TI","SB11202110005547","URBANO","S","ACADÉMICO","311848001011","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Postgrado","Estrato 6","1 a 2","Si","Si","Si","Si","88","70","69","74","79","371"
"20211","TI","SB11202110065610","URBANO","N","ACADÉMICO","311001051631","BOGOTÁ","MIXTO","SABATINA","NO OFICIAL","F","Cuatro","Educación profesional completa","Técnica o tecnológica completa","Estrato 3","3 a 4","Si","Si","Si","Si","56","54","54","57","64","286"
"20211","TI","SB11202110010832","URBANO",,"NO APLICA","376520006125","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Educación profesional incompleta","Postgrado","Estrato 3","1 a 2","No","Si","Si","Si","72","53","54","54","73","298"
"20211","TI","SB11202110007202","URBANO","N","ACADÉMICO","376001002392","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Estrato 6","5 a 6","Si","Si","Si","Si","55","63","55","59","61","296"
"20211","TI","SB11202110000970","URBANO","N","ACADÉMICO","476001005957","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Seis o mas",,,,"9 o más","Si","Si",,"Si","72","70","70","57","74","340"
"20211","CC","SB11202110025651","URBANO","N",,"376001043897","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Cuatro","Técnica o tecnológica completa","Secundaria (Bachillerato) incompleta","Estrato 2","5 a 6","Si","Si","Si","Si","39","50","39","47","60","241"
"20211","TI","SB11202110005372","URBANO","N","ACADÉMICO","376001006983","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","Estrato 3","5 a 6","Si","Si","Si","Si","76","50","60","40","63","275"
"20211","TI","SB11202110003125","URBANO","N","ACADÉMICO","376001026925","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Educación profesional completa","Secundaria (Bachillerato) incompleta","Estrato 2","3 a 4","Si","Si","Si","Si","72","61","66","56","59","307"
"20211","TI","SB11202110040271","URBANO",,,"311001800294","BOGOTÁ","MIXTO","SABATINA","NO OFICIAL","F","Cinco","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Estrato 3","5 a 6","Si","Si","Si","Si","42","49","31","38","48","208"
"20211","TI","SB11202110065573","URBANO","N","ACADÉMICO","311001104549","BOGOTÁ","MIXTO","MAÑANA","NO OFICIAL","F","Cuatro","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 3","3 a 4","No","Si","Si","Si","28","35","32","37","39","176"
"20211","TI","SB11202110012982","URBANO","N","TÉCNICO","376001007009","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Técnica o tecnológica completa","Educación profesional incompleta","Estrato 2","5 a 6","No","Si","Si","Si","52","42","41","45","47","222"
"20211","TI","SB11202110011549","URBANO","N","ACADÉMICO","411769000895","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Postgrado","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","74","70","58","65","63","324"
"20211","CC","SB11202110039953","URBANO",,"ACADÉMICO","320011001313","CESAR","MIXTO","SABATINA","NO OFICIAL","M","Dos","Primaria incompleta","Educación profesional completa","Estrato 1","5 a 6","No","No","Si","Si","33","35","40","38","39","188"
"20211","TI","SB11202110004001","URBANO","N","ACADÉMICO","376001011936","VALLE","MIXTO","COMPLETA","NO OFICIAL","M",,,,,,,,,,"61","61","53","52","60","284"
"20211","TI","SB11202110009988","URBANO","N","TÉCNICO","376001005596","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Tres","Secundaria (Bachillerato) completa","Primaria completa","Estrato 3","3 a 4","Si","Si","Si","Si","57","56","58","55","61","287"
"20211","TI","SB11202110040443","URBANO",,"ACADÉMICO","350001006933","META","MIXTO","SABATINA","NO OFICIAL","F","Dos","Primaria incompleta","Primaria incompleta","Estrato 3","3 a 4","Si","No","Si","Si","38","45","43","42","38","208"
"20211","TI","SB11202110006034","RURAL","S","ACADÉMICO","376001002279","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","87","100","75","70","75","403"
"20211","TI","SB11202110063967","URBANO",,,"311001110565","BOGOTÁ","MIXTO","NOCHE","NO OFICIAL","F","Tres","Primaria incompleta","Primaria incompleta","Estrato 3","3 a 4","No","Si","Si","Si","38","43","58","45","52","243"
"20211","TI","SB11202110007345","URBANO","N","ACADÉMICO","376001001388","VALLE","MASCULINO","COMPLETA","NO OFICIAL","F","Dos","No sabe","No Aplica","Estrato 3","1 a 2","No","Si","Si","Si","64","69","48","58","54","289"
"20211","TI","SB11202110013708","URBANO","N","ACADÉMICO","376892000034","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Cuatro","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 1","3 a 4","No","Si",,"Si","65","72","70","60","74","343"
"20211","TI","SB11202110003904","URBANO","S","ACADÉMICO","311001100985","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 5","3 a 4","Si","Si","Si","Si","79","65","66","59","61","320"
"20211","TI","SB11202110007504","URBANO","S","ACADÉMICO","376001001639","VALLE","MIXTO","COMPLETA","NO OFICIAL","M",,"Secundaria (Bachillerato) completa","Educación profesional completa",,,,,,,"78","80","70","70","66","360"
"20211","TI","SB11202110014278","URBANO","N","ACADÉMICO","376520000089","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 2","3 a 4","Si","Si","Si","Si","67","40","46","49","52","242"
"20211","TI","SB11202110002090","URBANO","N","ACADÉMICO","352001000903","NARIÑO","MIXTO","COMPLETA","NO OFICIAL","M",,,,,,,,,,"50","47","52","45","54","248"
"20211","TI","SB11202110020774","URBANO","S","ACADÉMICO","311848000693","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Cuatro","Postgrado","Postgrado","Estrato 5","3 a 4","Si","Si","Si","Si","80","70","62","61","76","341"
"20211","TI","SB11202110004264","URBANO","N","ACADÉMICO","376520000208","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 5","1 a 2","Si","Si","Si","Si","61","61","49","61","55","284"
"20211","TI","SB11202110003375","URBANO","S","ACADÉMICO","311769003938","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","86","73","64","67","73","353"
"20211","CC","SB11202110003889","URBANO","S","ACADÉMICO","376001001221","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Seis o mas","Educación profesional completa","Educación profesional completa","Estrato 6","5 a 6","Si","Si","Si","Si","87","69","67","70","65","346"
"20211","PE","SB11202110006146","URBANO","N","ACADÉMICO","352001001519","NARIÑO","MIXTO","MAÑANA","NO OFICIAL","M","Cuatro","Educación profesional incompleta","Educación profesional completa","Estrato 3","3 a 4","No","Si","Si","Si","81","64","65","66","65","331"
"20211","TI","SB11202110032877","URBANO","N","ACADÉMICO","376001024612","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta",,"3 a 4","Si","Si","Si","Si","67","52","53","56","53","273"
"20211","TI","SB11202110013702","URBANO","N","ACADÉMICO","376892000034","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","Educación profesional completa","Estrato 3","3 a 4","Si","Si","Si","Si","58","58","52","50","52","267"
"20211","TI","SB11202110009757","URBANO","N","ACADÉMICO","376001014048","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional incompleta","Educación profesional completa","Estrato 3","3 a 4","Si","Si","Si","Si","54","58","55","46","59","272"
"20211","TI","SB11202110004502","URBANO","N","ACADÉMICO","308001074771","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","M",,"Educación profesional completa","Educación profesional completa","Estrato 6",,,,"Si",,"100","69","57","66","61","330"
"20211","TI","SB11202110006797","URBANO","N","ACADÉMICO","319001000329","CAUCA","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Técnica o tecnológica completa","Estrato 3","5 a 6","No","Si","Si","Si","59","67","80","58","75","346"
"20211","CC","SB11202110065056","URBANO","N","ACADÉMICO","311265001012","BOGOTÁ","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 3","3 a 4","No","Si","Si","Si","49","49","50","48","42","237"
"20211","TI","SB11202110064371","URBANO",,,"311001800146","BOGOTÁ","MIXTO","SABATINA","NO OFICIAL","F","Seis o mas","No Aplica","Secundaria (Bachillerato) completa","Estrato 3","9 o más","Si","No","Si","No","42","33","25","34","43","172"
"20211","TI","SB11202110009141","URBANO","N","ACADÉMICO","376001003437","VALLE","MIXTO","UNICA","NO OFICIAL","F","Dos","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 4","1 a 2","No","Si","Si","Si","63","58","69","61","69","321"
"20211","CC","SB11202110006557","RURAL","S","TÉCNICO/ACADÉMICO","417873000544","CALDAS","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Postgrado","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","85","79","75","70","67","368"
"20211","TI","SB11202110012566","URBANO","N","ACADÉMICO","311001105481","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","86","82","75","74","70","380"
"20211","TI","SB11202110002257","RURAL","S","ACADÉMICO","313836000348","BOLIVAR","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 5","7 a 8","Si","Si","Si","Si","88","72","65","70","58","340"
"20211","TI","SB11202110005071","URBANO","N","ACADÉMICO","319001003280","CAUCA","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","56","59","61","60","66","305"
"20211","TI","SB11202110009967","URBANO","N","TÉCNICO","376001005596","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Uno","Educación profesional incompleta","Técnica o tecnológica incompleta","Estrato 3","1 a 2","Si","Si","Si","Si","58","63","64","59","68","315"
"20211","TI","SB11202110009062","URBANO","S","ACADÉMICO","311769000921","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Postgrado","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","83","63","68","64","65","332"
"20211","TI","SB11202110008595","RURAL","S","ACADÉMICO","425175032208","CUNDINAMARCA","FEMENINO","COMPLETA","NO OFICIAL","F","Tres","Técnica o tecnológica completa","Postgrado","Estrato 5","3 a 4","Si","Si","Si","Si","89","66","71","62","76","352"
"20211","CC","SB11202110014551","URBANO","N","ACADÉMICO","411769000895","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 6","5 a 6","Si","Si","Si","Si","69","49","49","50","55","261"
"20211","TI","SB11202110032166","URBANO","N","TÉCNICO/ACADÉMICO","376001007670","VALLE","MIXTO","TARDE","NO OFICIAL","F","Cuatro","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 5","3 a 4","Si","Si","Si","Si","53","46","38","48","44","223"
"20211","TI","SB11202110010827","URBANO",,"NO APLICA","376520006125","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Educación profesional incompleta","Técnica o tecnológica completa","Estrato 2","5 a 6","No","Si","Si","No","80","68","72","65","74","353"
"20211","CC","SB11202110065455","URBANO","N","ACADÉMICO","311001091838","BOGOTÁ","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 1","7 a 8","No","No","No","Si","42","54","44","54","51","250"
"20211","TI","SB11202110011597","URBANO","N","ACADÉMICO","376364001835","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Uno","Educación profesional completa","Educación profesional completa","Estrato 3","3 a 4","Si","Si","Si","Si","51","46","48","43","36","219"
"20211","TI","SB11202110033654","URBANO","N","ACADÉMICO","311001107599","BOGOTÁ","MIXTO","MAÑANA","NO OFICIAL","M","Dos","Educación profesional completa","Educación profesional completa","Estrato 3","3 a 4","Si","Si","Si","Si","73","70","58","63","64","322"
"20211","TI","SB11202110023845","URBANO","N","ACADÉMICO","376111000271","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Técnica o tecnológica completa","Técnica o tecnológica completa","Estrato 2","3 a 4","Si","Si","Si","Si","76","63","65","68","73","340"
"20211","TI","SB11202110010730","URBANO","S","ACADÉMICO","376001029932","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Educación profesional completa","Educación profesional completa","Estrato 5","1 a 2","Si","Si","Si","Si","76","64","55","58","57","299"
"20211","TI","SB11202110032802","URBANO","N","TÉCNICO/ACADÉMICO","376001007670","VALLE","MIXTO","TARDE","NO OFICIAL","F","Tres","Postgrado","Educación profesional completa","Estrato 2","3 a 4","Si","Si","Si","Si","52","55","63","56","57","287"
"20211","TI","SB11202110000263","URBANO","N","TÉCNICO/ACADÉMICO","311848000286","BOGOTÁ","MASCULINO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 4","3 a 4","Si","Si","Si","Si","78","63","51","62","54","295"
"20211","TI","SB11202110036131","URBANO","N","TÉCNICO","376001021885","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Educación profesional incompleta","Educación profesional incompleta","Estrato 3","3 a 4","Si","Si","Si","Si","74","59","60","59","67","311"
"20211","TI","SB11202110005007","URBANO","N","ACADÉMICO","308001074789","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Postgrado","Postgrado","Estrato 6","5 a 6","Si","Si","Si","Si","100","71","63","70","75","360"
"20211","TI","SB11202110011937","URBANO","N","ACADÉMICO","376001000519","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 4","3 a 4","Si","Si","Si","Si","62","42","53","50","56","256"
"20211","TI","SB11202110002974","URBANO",,"ACADÉMICO","311001100993","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 6","3 a 4","Si","Si","Si","Si","82","60","57","61","55","300"
"20211","TI","SB11202110010028","URBANO","N","TÉCNICO","376001005596","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Técnica o tecnológica completa","Estrato 3","3 a 4","No","Si","Si","Si","61","57","58","48","69","291"
"20211","TI","SB11202110016371","URBANO",,"ACADÉMICO","319001002330","CAUCA","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Educación profesional incompleta","Secundaria (Bachillerato) completa","Estrato 2","3 a 4","Si","Si","Si","Si","41","51","51","52","56","258"
"20211","TI","SB11202110005683","URBANO",,"ACADÉMICO","305001019681","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","M","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 6","5 a 6","Si","Si","Si","Si","79","72","65","64","67","340"
"20211","TI","SB11202110003221","URBANO","N","ACADÉMICO","376111000280","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Cuatro","Postgrado","Técnica o tecnológica completa","Estrato 4","3 a 4","Si","Si","Si","Si","58","76","67","63","67","337"
"20211","CC","SB11202110027997","URBANO","N","TÉCNICO","376111001146","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 1","3 a 4","Si","Si","No","Si","49","47","55","51","54","258"
"20211","TI","SB11202110000727","URBANO","S","TÉCNICO/ACADÉMICO","311001019568","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","86","73","67","68","69","353"
"20211","TI","SB11202110011348","RURAL","N","TÉCNICO","476001038251","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Educación profesional completa","Estrato 4","3 a 4","No","Si","Si","Si","74","49","56","56","57","280"
"20211","CC","SB11202110064867","URBANO","N","ACADÉMICO","376111032580","VALLE","MIXTO","NOCHE","NO OFICIAL","F","Tres","Técnica o tecnológica incompleta","No sabe","Sin Estrato","5 a 6","No","Si","Si","Si","43","42","39","40","39","201"
"20211","TI","SB11202110001118","URBANO","N","ACADÉMICO","376001026569","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 4","3 a 4","Si","Si","Si","Si","56","57","60","56","57","287"
"20211","TI","SB11202110004962","URBANO","S","ACADÉMICO","311769000921","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Cinco","Educación profesional completa","Educación profesional completa","Estrato 6","5 a 6","Si","Si","Si","Si","73","75","78","72","65","363"
"20211","TI","SB11202110014377","URBANO","N","TÉCNICO","376520005145","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 2","3 a 4","Si","Si","Si","Si","77","62","69","66","66","333"
"20211","TI","SB11202110035652","URBANO","N","TÉCNICO/ACADÉMICO","376001007670","VALLE","MIXTO","TARDE","NO OFICIAL","F","Tres","Educación profesional completa","Técnica o tecnológica incompleta","Estrato 3","3 a 4","No","Si","Si","Si","71","56","51","52","59","279"
"20211","TI","SB11202110037765","RURAL","N","ACADÉMICO","311001046816","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","No sabe","Estrato 3","3 a 4","Si","Si","Si","Si","77","57","70","62","68","326"
"20211","CC","SB11202110065310","URBANO","N",,"373001010485","TOLIMA","MIXTO","SABATINA","NO OFICIAL","M","Cinco","Educación profesional completa","Primaria incompleta","Estrato 3","5 a 6","Si","Si","Si","Si","43","52","42","48","50","238"
"20211","TI","SB11202110017293","URBANO","N","TÉCNICO/ACADÉMICO","376001001426","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Cuatro","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Estrato 4","5 a 6","Si","Si","Si","Si","71","65","63","66","65","326"
"20211","TI","SB11202110003907","URBANO","N","TÉCNICO/ACADÉMICO","376111002827","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Educación profesional completa","Primaria incompleta","Estrato 2","3 a 4","No","Si","Si","Si","52","34","47","41","52","221"
"20211","TI","SB11202110009098","URBANO","N","ACADÉMICO","376001003437","VALLE","MIXTO","UNICA","NO OFICIAL","F","Tres","Secundaria (Bachillerato) completa","Educación profesional incompleta","Estrato 3","3 a 4","Si","Si","Si","No","63","56","58","55","65","294"
"20211","TI","SB11202110002567","URBANO","S","ACADÉMICO","308001101153","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Postgrado","Estrato 5","3 a 4","Si","Si","Si","Si","78","73","69","68","71","354"
"20211","TI","SB11202110031944","URBANO","N","TÉCNICO/ACADÉMICO","376001007670","VALLE","MIXTO","TARDE","NO OFICIAL","F","Cuatro","Secundaria (Bachillerato) completa","Postgrado","Estrato 3","5 a 6","Si","Si","Si","Si","77","58","63","56","66","310"
"20211","TI","SB11202110010953","URBANO","N","TÉCNICO","376001028219","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Dos","Educación profesional completa","Técnica o tecnológica completa","Estrato 3","3 a 4","No","Si","Si","No","52","61","63","62","66","311"
"20211","CC","SB11202110025178","URBANO","S","ACADÉMICO","311769003474","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","85","60","72","60","62","326"
"20211","TI","SB11202110005177","URBANO","S","ACADÉMICO","311848002424","BOGOTÁ","MASCULINO","COMPLETA","NO OFICIAL","M","Dos","Educación profesional completa","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","88","81","67","73","76","377"
"20211","TI","SB11202110001379","URBANO","N","ACADÉMICO","376001041018","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Uno","Educación profesional completa","Educación profesional completa","Estrato 5","1 a 2","Si","Si","Si","Si","47","52","62","55","64","287"
"20211","TI","SB11202110039890","RURAL","S","ACADÉMICO","311769002818","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","77","73","68","69","70","353"
"20211","TI","SB11202110010413","URBANO","N","ACADÉMICO","376001000276","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","No sabe","Estrato 5","3 a 4","No","Si","Si","Si","76","100","79","70","64","390"
"20211","TI","SB11202110005974","RURAL","N","ACADÉMICO","425377000529","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional incompleta","Estrato 6","3 a 4","Si","Si","Si","Si","100","73","70","74","65","364"
"20211","TI","SB11202110063963","URBANO","N","TÉCNICO/ACADÉMICO","173001001088","TOLIMA","MIXTO","MAÑANA","OFICIAL","F","Tres","Secundaria (Bachillerato) incompleta","Educación profesional incompleta","Estrato 3","3 a 4","No","Si","Si","Si","67","53","57","55","54","278"
"20211","TI","SB11202110007543","URBANO","N","ACADÉMICO","376001001868","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 3","3 a 4","Si","Si","Si","Si","52","56","54","51","50","263"
"20211","CC","SB11202110005250","URBANO","S","ACADÉMICO","311848000278","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 5","5 a 6","Si","Si","Si","Si","82","80","76","81","79","396"
"20211","TI","SB11202110010774","URBANO","N","TÉCNICO","376001028219","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Cuatro","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 3","3 a 4","No","Si","Si","Si","51","48","48","49","66","263"
"20211","TI","SB11202110012028","URBANO","N","ACADÉMICO","376001000519","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","66","60","52","52","58","282"
"20211","TI","SB11202110019278","URBANO","S","ACADÉMICO","308001000882","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Técnica o tecnológica completa","Estrato 6","3 a 4","Si","Si","Si","Si","89","79","71","75","76","382"
"20211","TI","SB11202110023884","URBANO","N","ACADÉMICO","376111000271","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Estrato 4","3 a 4","Si","Si","Si","Si","39","55","38","46","55","239"
"20211","TI","SB11202110007294","URBANO","N","ACADÉMICO","376001001388","VALLE","MASCULINO","COMPLETA","NO OFICIAL","M","Dos","No sabe","No sabe","Estrato 3","3 a 4","Si","Si","Si","Si","81","56","62","54","62","301"
"20211","TI","SB11202110037739","URBANO",,"ACADÉMICO","311001105375","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Cuatro","Postgrado","Postgrado","Estrato 6","5 a 6","Si","Si","Si","Si","80","71","65","31","62","295"
"20211","TI","SB11202110004755","URBANO","N","TÉCNICO/ACADÉMICO","319001002054","CAUCA","MASCULINO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Postgrado","Estrato 3","3 a 4","Si","Si","Si","Si","77","71","71","69","100","388"
"20211","TI","SB11202110005375","URBANO","N","ACADÉMICO","317001001896","CALDAS","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","89","82","80","76","72","392"
"20211","CC","SB11202110008979","URBANO","N","ACADÉMICO","376001041602","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Primaria incompleta","Técnica o tecnológica completa","Estrato 3","5 a 6","No","No","Si","Si","40","48","34","48","38","209"
"20211","TI","SB11202110011442","URBANO","S","ACADÉMICO","311001107271","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Estrato 4","3 a 4","Si","Si","Si","Si","70","55","49","48","58","269"
